SINGLE SWITCH SKT KED BROOKE 13A KBV4050,Nos
DOUBLE SWITCH SKT KED BROOKE 13A KBV4060,Nos
SCOTCH RUBBER TAPE19MM*9.15*.76M(30FT)3M,Roll
INSULATION TAPE BLACK VINI,Roll
PVC FLEXIBLE CONDUIT 20MM * 50 MTRBLACK,Nos
"H/P PVC PIPE 11/4"" x 6 MTR ATLAS",Mtr
"H/P PVC ELBOW 45* 11/4"" ATLAS",Nos
"RUBBER HANGING CLAMP 1 """,Nos
UNI FIX10 *40MM TUFFIX TAIWAN,Nos
FIX BOLT 8 MM-50 PCS / PKT,Nos
PPR ELBOW 90*25MM RAK THERM,Nos
"PPR F/M ELBOW 25MM*1/2"" RAK THERM",Nos
"H/P PVC CONVER. SOCKET 50mm x11/2""",Nos
"H/P PVC RED. BUSH 11/2"" x 1"" ATLAS",Nos
MCB 63A 3 POLE 6K SCHNIEIDER,Nos
SILICONE CLEAR FLEX 310 M WEICON,Nos
SILICON WHITE 280 ML PATTEX SL212,Nos
PVC ADAPTABLE BOX WHITE 300*300*110MM,Nos
PVC CONDUIT BAR SADDLE CLIP25MM HOTICE,Nos
TILE CLEANER GLN AIRY,Nos
ALL PURPOSE CLEANER LARY 5 LTR,Nos
"SCRAPER 10 "" WOODEN HANDLE TOWER",Nos
"SCRAPER 3"" GEEPAS GT59274",Nos
SPONGE,Nos
COTTON RUG WHITE 100% COTTON,Nos
GI WIRE BRUSH PVC HANDLE YELLOW TOWER,Nos
PVC BUCKET YELLOW H/D ABI JUMBO,Nos
PVC GURUMALA / FLOAT,Nos
MEASURING TAPE 5.5 MTR VERTEX,Roll
GI BINDING WIRE 20G *10 Kg,Nos
PERMANENT MARKER BLACK FIS,Nos
PENCIL HB 12 PCS / PKT,Nos
SPIRIT LEVEL 60CM * 24'' STANLEY,Nos
SPIRIT LEVEL 100 CM * 39'' STANLEY,Nos
CLAW HAMMER 20OZ WOOD/H GEEPAS GT5912,Nos
MEASURING TAPE 30M FIBER FGRST3011 PROTE,Roll
ALUMINIUM LEVELING BAR 80*40MM 5.8 MTR,Nos
BAR BENDING KEY 12 MM,Nos
DOUBLE SIDED DOTTED GLOVES BLUE,Nos
BAR BENDING PLATE 12 MM,Nos
"FLOAT VALVE 1""",Nos
RAK Bond 20kg Drum,Nos
WATER LEVEL HOSE 6MMX10YARD,Nos
"STEEL KARANDI 5"" INDIA STAR",Nos
"STEEL KARANDI 4 "" INDIAN MODEL PROTECH",Nos
MECHANICAL HAMMER 500G EMERALD 3123FG,Nos
FIRST AID KIT 25 PERSONS,Nos
POINTED SHOWEL WDN HNDL H/D AMERIC.HORSE,Nos
PVC GURUMALA / FLOAT,Nos
COCO BRUSH 1 FT,Nos
"WOOD NAIL 2"" 5KG",Nos
LINE DOORI NYLON 200GRM ROLL,Nos
SS CUTTING DISC,Nos
HARD BRUSH 6 ROW WITH WOODEN STICK,Nos
RIGHT ANGLE MASTER TOOL,Nos
BITUMEN PAINT 15KG,Nos
"PAINT ROLLER 9""",Nos
"PAINT ROLLER 4""",Nos
"SS FLOOR TRAP 4"" TILE TOP P 20/ AQUA P",Nos
"H/P PVC UNION BALL WALL 1 1/2""",Nos
"H/P PVC NRV 1 1/2"" CEPEX",Nos
"H/P PVC ELBOW 45* 2"" ATLAS",Nos
"UPVC GALLY TRAP 6*X4"" 1 WAY",Nos
UPVC RED BUSH4*3,Nos
"H/P PVC UNION 11/2"" CEPEX",Nos
"H/P PVC UNION 2"" CEPEX",Nos
"H/P PVC RED. BUSH 2"" x 11/2"" ATLAS",Nos
"PVC H/P ELBOW 2"" 90DEG ATLAS",Nos
"ANTI VIBRATION PAD 45x45CM(18""x18"")INDIA",Nos
"H/P PVC UNION BALL VALVE 2 ""ANTI B CEPEX",Nos
"PVC H/P MALE SOCKET 2"" ATLAS",Nos
"H/P PVC MALE SOCKET 11/2"" ATLAS",Nos
"BRASS FOOT VALVE 2"" NET TYPE ANGEL",Nos
"H/P PVC F/M SOCKET 1"" ATLAS",Nos
"H/P PVC F/M ELBOW 1"" ATLAS",Nos
"MASKING TAPE 2"" X25Y 24PCS ASMACO",Roll
TILE CROSS 2MM,Nos
THINNER 1L NATIONAL,Nos
PAD LOCK 28MM B/P FUERZA,Nos
"SCRAPPER 3""",Nos
COTTON RAGS COLOUR BANYAN (CLEANING),Nos
IRRIGATION CONTROLLER 4STA ESP-RZXe RB,Nos
"VALVE BOX GREEN ROUND 10""",Nos
TIMER 1 WAY BATTERY 94162 ORBIT,Nos
"BRASS FOOT VALVE 1"" NET TYPE ANGEL",Nos
"H/P PVC UNION 2"" CEPEX",Nos
ARMOURED CABLE 16MM*4 C MESC UAE,Nos
W/P 13A DOUBLE SWITCH SOCKET SCHNEIDER,Nos
SILICON CLEAR 280 ML PATTEX SL 212,Nos
1.5 MM 1 CORE WIRE RED OMAN,Nos
1.5 MM 1 CORE WIRE BLUE OMAN,Nos
PVC FLEXIBLE CONDUIT 20MM * 50 MTRBLACK,Nos
TEFLON TAPE 12MM,Roll
H/P PVC PIPE 2 '' CLASS-E ATLAS,Mtr
"H/P PVC PIPE 1"" x 6 MTR ATLAS",Mtr
UTILITY KNIFE CLARKE,Nos
"STEEL KARANDI 4 "" INDIAN MODEL PROTECH",Nos
GLASS BIT 6MM LONG MANNESMAN/STARK,Nos
PP SHEET 0.9*2MTR 2MM 300GSM BLUE,Nos
PPR END CAP 25MM RAK THERM,Nos
PPR PIPE 25MM *4M RAK THERM,Mtr
PPR ELBOW 90* 25MM RAK THERM,Nos
PPR OPEN VALVE 25MM RAK THERM,Nos
PPR REDUCER 32*25MM RAK THERM,Nos
EPOXY FLOOR TOP COAT 294 FLAKE GREY GLN,Nos
PPR TEE 25MM RAK THERM,Nos
WHITE WOOD 2'' X 2'' X 13FT (4MTR,Nos
COMMERCIAL PLYWOOD 6MM 4FTX8FT,Nos
"CONCRETE NAIL BLACK 2 1/2"" 3*60, PKT",Nos
